timestamp_hour,temperature_celsius,rain_mm
2026-05-24 00:00:00,22.2,0.0
2026-05-24 01:00:00,21.5,0.0
2026-05-24 02:00:00,20.5,0.0
2026-05-24 03:00:00,19.5,0.0
2026-05-24 04:00:00,18.6,0.0
2026-05-24 05:00:00,18.0,0.0
2026-05-24 06:00:00,18.1,0.0
2026-05-24 07:00:00,19.4,0.0
2026-05-24 08:00:00,21.4,0.0
2026-05-24 09:00:00,24.0,0.0
2026-05-24 10:00:00,25.5,0.0
2026-05-24 11:00:00,26.6,0.0
2026-05-24 12:00:00,26.5,0.0
2026-05-24 13:00:00,26.8,0.0
2026-05-24 14:00:00,27.5,0.0
2026-05-24 15:00:00,27.1,0.0
2026-05-24 16:00:00,26.7,0.0
2026-05-24 17:00:00,26.4,0.0
2026-05-24 18:00:00,24.9,0.0
2026-05-24 19:00:00,23.2,0.0
2026-05-24 20:00:00,21.8,0.0
2026-05-24 21:00:00,19.8,0.0
2026-05-24 22:00:00,18.2,0.0
2026-05-24 23:00:00,17.1,0.0
2026-05-25 00:00:00,16.2,0.0
2026-05-25 01:00:00,15.4,0.0
2026-05-25 02:00:00,14.5,0.0
2026-05-25 03:00:00,13.8,0.0
2026-05-25 04:00:00,13.2,0.0
2026-05-25 05:00:00,12.9,0.0
2026-05-25 06:00:00,13.2,0.0
2026-05-25 07:00:00,14.5,0.0
2026-05-25 08:00:00,16.5,0.0
2026-05-25 09:00:00,18.5,0.0
2026-05-25 10:00:00,20.0,0.0
2026-05-25 11:00:00,21.2,0.0
2026-05-25 12:00:00,22.4,0.0
2026-05-25 13:00:00,23.5,0.0
2026-05-25 14:00:00,24.6,0.0
2026-05-25 15:00:00,25.0,0.0
2026-05-25 16:00:00,25.4,0.0
2026-05-25 17:00:00,25.4,0.0
2026-05-25 18:00:00,25.1,0.0
2026-05-25 19:00:00,24.7,0.0
2026-05-25 20:00:00,24.5,0.0
2026-05-25 21:00:00,23.3,0.0
2026-05-25 22:00:00,21.8,0.0
2026-05-25 23:00:00,20.6,0.0
2026-05-26 00:00:00,19.4,0.0
2026-05-26 01:00:00,18.2,0.0
2026-05-26 02:00:00,16.8,0.0
2026-05-26 03:00:00,15.9,0.0
2026-05-26 04:00:00,15.4,0.0
2026-05-26 05:00:00,15.0,0.0
2026-05-26 06:00:00,15.4,0.0
2026-05-26 07:00:00,16.5,0.0
2026-05-26 08:00:00,18.4,0.0
2026-05-26 09:00:00,20.9,0.0
2026-05-26 10:00:00,23.0,0.0
2026-05-26 11:00:00,24.6,0.0
2026-05-26 12:00:00,25.9,0.0
2026-05-26 13:00:00,26.9,0.0
2026-05-26 14:00:00,28.0,0.0
2026-05-26 15:00:00,28.3,0.0
2026-05-26 16:00:00,28.6,0.0
2026-05-26 17:00:00,28.6,0.0
2026-05-26 18:00:00,28.5,0.0
2026-05-26 19:00:00,28.1,0.0
2026-05-26 20:00:00,27.6,0.0
2026-05-26 21:00:00,26.2,0.0
2026-05-26 22:00:00,24.9,0.0
2026-05-26 23:00:00,23.7,0.0
2026-05-27 00:00:00,22.6,0.0
2026-05-27 01:00:00,21.5,0.0
2026-05-27 02:00:00,20.9,0.0
2026-05-27 03:00:00,19.6,0.0
2026-05-27 04:00:00,18.4,0.0
2026-05-27 05:00:00,17.2,0.0
2026-05-27 06:00:00,16.7,0.0
2026-05-27 07:00:00,16.5,0.0
2026-05-27 08:00:00,17.2,0.0
2026-05-27 09:00:00,17.8,0.0
2026-05-27 10:00:00,18.6,0.0
2026-05-27 11:00:00,19.4,0.0
2026-05-27 12:00:00,20.3,0.0
2026-05-27 13:00:00,21.0,0.0
2026-05-27 14:00:00,21.6,0.0
2026-05-27 15:00:00,21.8,0.0
2026-05-27 16:00:00,21.7,0.0
2026-05-27 17:00:00,21.4,0.0
2026-05-27 18:00:00,20.6,0.0
2026-05-27 19:00:00,19.8,0.0
2026-05-27 20:00:00,18.9,0.0
2026-05-27 21:00:00,17.4,0.0
2026-05-27 22:00:00,15.9,0.0
2026-05-27 23:00:00,14.9,0.0
2026-05-28 00:00:00,13.9,0.0
2026-05-28 01:00:00,13.2,0.0
2026-05-28 02:00:00,11.8,0.0
